"title","share_title","share_description","content"
"7天基础冥想","7天基础冥想","Now 冥想倾力打造，0基础小白入门练习。专业冥想入门内容。","练习完成后，你会对正念冥想有一个清晰的概念，并掌握基本的冥想技巧和方法 。"
"21天进阶冥想","21天进阶冥想","由易到难进阶冥想达人","21天课程采用从简到难的方式，首先从感官和声音开始，再到思绪和想法，让你充分了解大脑的工作方式，让自己摆脱无意识模式。逐步培养用一颗不评判的心去觉察周遭，理性地面对头脑中涌现的想法和思绪，学会驾驭自己的人生。"
"身体扫描","身体扫描","迅速帮助你安定身心，增强觉知力和专注力，更加真实地活在当下","跟随练习的引导，来一点点觉察，我们身体中的是否有紧张、焦虑、甚至是扭曲的部分，在身体扫描中，重新建立我们与身体之间，被忽略的连接关系。"
"平和心境","平和心境","当你拥有足够平和的心境，你便拥有了一切。","完成练习后，我们会获得一种深埋于内心深处的平衡。它帮助我们清理身心，随时随地都能调节呼吸，让自己更平和健康。"
"钟声提示","钟声提示","让疲惫生活中的自我在这个钟声的引导中彻底的放松下来吧！","当你听到第一次冥想钟声时，说明练习已经开始，钟声会很有效地抓住你分散的注意力。接下来是你的自由冥想时间，在你听到第二次钟声时，说明本次练习已完成。"
"7天舒眠冥想","7天舒眠冥想","7天带你摆脱失眠，自然入睡，拥有深度放松的高质量睡眠","冥想是一种通过唤醒生理“放松反应”来治疗失眠的自然疗法。通过7天的练习，你的身心会得到深度放松，拥有高质量睡眠。"
"冥想学前课","","","什么是冥想？学习冥想难不难？冥想到底有什么用？在真正开始冥想练习前，学前课可以帮助你更好地认识冥想。这里是你爱上冥想的入口，也是你因此获益的开始。"
"7天幸福冥想","","","幸福冥想让我们学会，以感恩的心看待世界，爱自己和关爱他人。

学会对不属于自己的东西放手，接纳生活中的不确定性，探索尽情释放的力量。"
"正念·静心之旅","正念·静心之旅","学会缓解生活和工作中的小压力","深入理解什么是正念，并运用到日常生活中。能自如地释放负面情绪，与他人建立起良好的连接。"
"缓解焦虑","缓解焦虑","随呼吸节奏把焦虑情绪释放","让我们在呼吸中，找到属于自己最自然的呼吸节奏，随着吸气，变得平静放松，又随着呼气，把紧张和压力一起呼出。"
"冥想纯音乐","冥想纯音乐","The Unexplainable Store® 定制冥想脑波音乐，让您短短几分钟内轻松进入冥想状态！","专业的冥想辅助音乐，帮你进入深度冥想状态。融合了脑波原理的冥想音乐，会协助你把大脑状态自然过渡到适合冥想的状态中。"
"7天专注冥想","7天专注冥想","当你开始专注，你便成功了一半。","在这7天里，我们将一起探索，如何提高对惯性思维和注意力的意识觉察，提高聚焦和专注能力。

我们可以试着放慢脚步，体会同一时间只做一件事的好处。"
"8天禅修冥想","8天禅修冥想","在一呼一吸之间，逐渐放松你的身体，治愈你的心灵","伴着优美的冥想音乐，你将追随冥想导师的引导，步入美轮美奂的自然场景中。在一呼一吸之间，逐渐放松你的身体，愈合你的心灵，进入禅定状态。"
"接纳自我","接纳自我","和自己和解，全然地接纳自己的一切","接纳冥想帮助我们认清自己的评判行为，让我们学会接纳，富有更多的耐心和慈悲心。全然地接纳自己，会让我们以更健康的心态迎接幸福感。"
"7天感恩冥想","7天感恩冥想","把感恩变成一种美好的习惯","关注生活中美好的事物，常常心怀感恩，能增强身体免疫力，使人乐观并最终获得幸福。"
"10天幸福福流冥想","10天幸福福流冥想","积极心理科学和福流幸福理论相结合，让你的福流随叫随到，获得幸福能力的持续提升。","这是Helen根据积极心理学科研成果，开发的创新冥想课程。帮你拥有更多自在清明、专注忘我的幸福体验。"
"5天情绪自调冥想","5天情绪自调冥想","清理负面情绪，调整伤害性回应","陈若汐老师带你学会观察、安抚，与亲密之人发生争吵矛盾时的情绪能量，改善被情绪驱使的无力感与焦虑感。"
"大自然的声音","大自然的声音","在雨声、风声、海浪声……中，帮助你放松身心，享受当下的宁静，提升专注度，轻松入眠。","世界各地现场采集录制的音效，未经任何人为处理，原汁原味地还原了大自然最真实的声音。

倾听自然界的雨声、风声、海浪声……在模拟真实的自然环境中，帮助你放松身心，享受当下的宁静，提升专注度，轻松入眠。"
"古典冥思旋律","古典冥思旋律","在舒缓悠长的美洲长笛下，我们开始彻底地放下，找回真正的自我。","冥思旋律是来自马德里的作曲家、乐器演奏家丹尼尔·埃斯帕达的创作，
他以舒缓悠长的美洲长笛为主旋律，引领我们彻底地放下，找回真正的自我。"
"放松静心","放松静心","给你极致的宁静放松体验","本音频收录了Upadhi的放松静心冥想引导练习，这个练习被翻译成多个语言版本，在全世界30多个国家广为流传。

除此之外，还收录了老师的采访音频实录，与大家分享。"
"找寻内心的平静","找寻内心的平静","你有多久没给心灵放个假了，来这里给心灵片刻的宁静。","巴勃罗. 阿雷拉诺——欧洲钢琴家和作曲家。他创作的疗愈音乐，接纳每一个当下的灵感，每首曲子都有其独特的美，连接我们的内心，聆听时让你完全放松，找到内心的平静。"
"深度疗愈·找寻内心的平静","深度疗愈·找寻内心的平静","你有多久没给心灵放个假了，来这里给心灵片刻的宁静。","巴勃罗. 阿雷拉诺——欧洲钢琴家和作曲家。他创作的疗愈音乐，接纳每一个当下的灵感，每首曲子都有其独特的美，连接我们的内心，聆听时让你完全放松，找到内心的平静。"
"30天基础冥想","30天基础冥想","30天养成一个好习惯，给人生一个重塑的机会","30天基础冥想是Now团队为初学者打造的系列。本专辑以练习为主，回顾了正念的核心概念，帮大家解决练习中遇到的问题，掌握将正念与生活结合的方法。建议你在完成《7天基础冥想》后，开始练习。"
"Now减压电台","","","每一个小故事，带你体悟当下，觉察自己。"
"6天缓解焦虑冥想","6天缓解焦虑冥想","Julie Lewin帮你透过想象消除你的焦虑。","Julie Lewin是澳大利亚医学直觉疗愈从业者，其深入研究的冥想疗法，曾帮助众多心理问题患者摆脱心理疾病困扰。"
"5天吸引力冥想","5天吸引力冥想","5天吸引力冥想，让你心想事成！","《吸引力冥想》由斯蒂芬妮（Stephanie Kakris）制作。她花了10年的时间学习和教授吸引力法则，并将最强大的技巧融入到内容中。此专辑将帮助你了解吸引力法则的主要原理，以及可以在日常生活中采取的实际步骤。每节冥想后都附带一个简短有效的技巧，你可以在任何时间完成。"
"晨间冥想","","","开启美好的一天

在一觉醒来的清晨，开启今天的工作和生活之前，一场让自己清醒放松的冥想，可以提升你这一天的状态。"
"晚间冥想","晚间冥想","在睡觉之前，来一场彻底清理身心的晚间冥想。","卸下一整天的疲惫

忙碌了一整天，不能再带着负担和情绪入睡。不如在睡觉之前，来一场彻底清理的晚间冥想。"
"温宗堃","","","台湾知名正念减压导师

温老师作为台湾正念发展协会理事长，曾多次受邀至香港、新加坡等地带领正念课程。"
"Upadhi","","","巫帕迪老师的放松静心冥想引导课程，最初版本为意大利文，后被翻译成英文、法文等多个语言版本，在全世界30多个国家广为流传。

作为巫帕迪老师唯一合作的中国线上冥想平台，我们与老师合作打造了中文版本，希望帮助大家不断专注当下，达到身心彻底的放松与宁静。


课程主讲：巫帕迪
意大利欧勒斯治疗艺术与意识学院创办人
拥有三十多年静心冥想教学经验
培训100多名学生在世界各地从事冥想导师相关工作
"
"正念慈心冥想","","","由台湾正念导师温宗堃原创课程，通过练习原谅和感恩，学会放下，真正地拥抱生活。"
"5天莲花疗愈冥想","5天莲花疗愈冥想","疗愈你身体的疲劳和心灵的不安，重新回到身心平衡的健康状态。","使用莲花意象的冥想，帮助你疗愈身体的疲劳和心灵的不安，培养正面的感觉和情绪，重新回到身心平衡的健康状态。"
"七日正念 · 活在当下","七日正念 · 活在当下","不念过去不畏将来","只有活在当下，才能够创造出可以把握的未来。明天的你，是每个当下你做出的选择。"
"情绪紧急救助冥想","情绪紧急救助冥想","5分钟解决突如其来的负面情绪","当负面情绪奔涌而来，身体发出SOS求救信号，我们只能束手无策？不如通过5分钟冥想，即时解决情绪问题，避免被情绪裹挟，伤害自己伤害他人。"
"爱自己冥想","爱自己冥想","最好的告白是，爱自己！","课程由Stephanie Kakris原创打造，你，光彩夺目，你，不只是自己，还是一个完整的世界，你可以用爱把全世界连结在一起，让世界更加鲜活流动。"
"Stephanie Kakris","","","学会关爱自己的身体和内心

课程由Stephanie Kakris老师原创打造，希望帮助你真正地去拥抱和关爱自己的身体和内心，让生活变得更健康、幸福和充实。"
